username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
AllexGallvao;2019-05-07 09:58;0;0;"Fico feliz que sempre haverá filho de pobre de direita disposto a ganhar uma miséria, em situações humilhantes, sofrendo todo o tipo de assédio, sem poder reclamar. E que venha a era de "mais emprego e menos direito"!";;;;"1125746764026347521";https://twitter.com/AllexGallvao/status/1125746764026347521
plfracassi_;2019-05-07 09:42;1;3;"Ah, o clássico macho falando que mulher reclamar de assédio é mimimi e que tem que procurar outro emprego se não tá feliz em ser assediada É de cair o cu da bunda viu pic.twitter.com/6gBtbwlAZf";;;;"1125742584259805185";https://twitter.com/plfracassi_/status/1125742584259805185
Masmenin;2019-05-04 08:31;0;1;"Bom dia! Pensei que quando o Exmo.Presidente começasse o seu governo o desemprego ia mudar.Mas não pensei que fosse tão difícil trabalhar.Minha filha chora o dia todo pq não conseguiu um emprego descente.O último emprego dela foi horrivel onde ela sofreu assédio moral.";;;;"1124637680451706880";https://twitter.com/Masmenin/status/1124637680451706880
JeffersonmlF;2019-05-03 16:52;0;1;"Molhadinho vai ficar a bunda dele soando a procura de novo emprego logo logo. Isso é assédio sexual?";;;;"1124401343651827713";https://twitter.com/JeffersonmlF/status/1124401343651827713
e_saggin;2019-05-03 09:27;0;0;"Assédio moral é toda e qualquer conduta abusiva que atente, por sua repetição ou sistematização, contra a dignidade ou integridade física ou psíquica de uma pessoa, ameaçando seu emprego ou degradando o clima de trabalho. # AdvocaciaDeResultadospic.twitter.com/UQob0sdcR9";;;#;"1124289369521700864";https://twitter.com/e_saggin/status/1124289369521700864
nannndy;2019-05-03 00:11;0;3;"6. em nenhum momento ele teve qualquer receio de que eu poderia denunciá-lo na academia por assédio e que ele poderia perder o emprego.";;;;"1124149466414690304";https://twitter.com/nannndy/status/1124149466414690304
curtisadvogados;2019-05-02 21:04;1;2;"ASSÉDIO MORAL é toda e qualquer conduta abusiva que atente, por sua repetição ou sistematização, contra a dignidade ou integridade física ou psíquica de uma pessoa, ameaçando seu emprego ou degradando o clima de trabalho # assediomoralpic.twitter.com/42hFb4H9Hd";;;#;"1124102478549725185";https://twitter.com/curtisadvogados/status/1124102478549725185
welderdevito;2019-05-02 20:55;0;0;"Assédio Moral é toda e qualquer conduta abusiva que atente, por sua repetição ou sistematização, contra a dignidade ou integridade física ou psíquica de uma pessoa, ameaçando seu emprego ou degradando o… https://www.instagram.com/empregospiaui/p/Bw-rYCnDrkR/?igshid=xle9jqs5x7du …";;;;"1124100044683083777";https://twitter.com/welderdevito/status/1124100044683083777
melo_adv_sia;2019-05-02 18:09;0;0;"Assédio Moral é toda e qualquer conduta abusiva que atente, por sua repetição ou sistematização, contra a dignidade ou integridade física ou psíquica de uma pessoa, ameaçando seu emprego… https://www.instagram.com/p/Bw-Yb_9F0k_/?utm_source=ig_twitter_share&igshid=1kw6ucj3g2b5a …";;;;"1124058401619816448";https://twitter.com/melo_adv_sia/status/1124058401619816448
maiscastanhal;2019-05-02 12:44;0;0;"Assédio moral é qualquer conduta abusiva que atente, por sua repetição ou sistematização, contra a dignidade ou integridade física/psíquica da pessoa, ameaçando seu emprego ou degradando o clima de trabalho. Em casos… https://www.instagram.com/p/Bw9zNfRhoa8/?igshid=f0c8wn9dutgp …";;;;"1123976541015281664";https://twitter.com/maiscastanhal/status/1123976541015281664
GarciaGelia;2019-05-02 10:53;0;0;"Assédio Moral no Trabalho é definido como qualquer conduta abusiva (gesto, palavra, comportamento, atitude )que atente,por sua repetição ou sistematização contra a dignidade ou integridade psíquica ou física de uma pessoa, ameaçando seu emprego ou degradando o clima de trabalho.";;;;"1123948527208603651";https://twitter.com/GarciaGelia/status/1123948527208603651
otavio_bastos01;2019-05-02 09:20;0;0;"Assédio Moral é toda e qualquer conduta abusiva que atente, por sua repetição ou sistematização, contra a dignidade ou integridade física ou psíquica de uma pessoa, ameaçando seu emprego… https://www.instagram.com/p/Bw9b6f4HGF1/?utm_source=ig_twitter_share&igshid=1j16pnr94x6jn …";;;;"1123925307449331712";https://twitter.com/otavio_bastos01/status/1123925307449331712
SenadoFederal;2019-05-02 09:00;80;203;"Assédio moral é qualquer conduta abusiva que atente, por sua repetição ou sistematização, contra a dignidade ou integridade física/psíquica da pessoa, ameaçando seu emprego ou degradando o clima de trabalho. Em casos de assédio coletivo, acione o Ministério Público do Trabalho. pic.twitter.com/NsRxKixg3g";;;;"1123920073234833417";https://twitter.com/SenadoFederal/status/1123920073234833417
resendeprof;2019-05-01 15:55;0;1;"Vertical: Devemos associar o crescimento deste tipo de assédio moral aos pacotes educacionais tais como o Nova Escola, que associa salários à produtividade, à falta de democracia nas escolas, onde as horas extras, contratos e mesmo emprego dos terceirizados muitas vezes são ...";;;;"1123662330452226048";https://twitter.com/resendeprof/status/1123662330452226048
fabiofelixdf;2019-05-01 12:44;3;27;"Dia de luta de trabalhadores e trabalhadoras sem emprego, sem teto, sem terra, vítimas da escravidão moderna, de discriminação e assédio, da cidade, do campo, da cultura, que são vítimas de discriminação e assédio, que não se calam diante do desmonte de direitos # DiaDoTrabalhadorpic.twitter.com/FaE3B4R67Y";;;#;"1123614167678771201";https://twitter.com/fabiofelixdf/status/1123614167678771201
maisaoumenos;2019-04-30 21:56;0;2;"aula de assédio moral e autoritarismo no trabalho e eu cabisbaixa me identificando com tudo alguém por favor me arruma outro emprego";;;;"1123390770470375425";https://twitter.com/maisaoumenos/status/1123390770470375425
Ale_FSantana;2019-04-25 20:12;0;5;"Trabalhar com um cara de masculinidade frágil e uma das piores coisas que já passei tirando o assédio moral em outro empresa . Engolindo sapo e toda a fauna e flora pra manter meu emprego .";;;;"1121552652616310785";https://twitter.com/Ale_FSantana/status/1121552652616310785
mulhervitrola;2019-04-21 09:54;2;20;"minha sobrinha sofria assédio frequente no trabalho (ela é diarista) e saiu do emprego. ao justificar a saída pra esposa do cara: "ninguém nunca reclamou antes". não digo que dói na alma pq nessa hora a alma até sai do corpo. isso é monstruoso.";;;;"1119947494983598082";https://twitter.com/mulhervitrola/status/1119947494983598082
allezpessoa;2019-03-31 17:14;0;2;"Assédio é crime. Art. 216-A. Constranger alguém com o intuito de obter vantagem ou favorecimento sexual, prevalecendo-se o agente da sua condição de superior hierárquico ou ascendência inerentes ao exercício de emprego, cargo ou função. Pena – detenção, de 1(um) a 2 (dois) anos. https://twitter.com/WJrMetal23/status/1112439667364896768 …";;;;"1112447974305603585";https://twitter.com/allezpessoa/status/1112447974305603585
KelvynRicharD;2019-03-13 10:56;0;0;""configura assédio moral quem ofender reiteradamente a dignidade de alguém, causando-lhe dano ou sofrimento físico ou mental, no exercício de emprego, cargo ou função." EBC. Ou seja, tem que ser aprovada mesmo!!!! https://twitter.com/lpbragancabr/status/1105761446267359232 …";;;;"1105829916535341057";https://twitter.com/KelvynRicharD/status/1105829916535341057
kalidelossantos;2019-03-10 17:19;2;9;"E eu sou contra a parte de linchamento e assédio, contra demais, mas ela perder o emprego é consequência esperada, né, dela ser abertamente transfóbica. E todo mundo que defende ela chamando mulheres trans de homens, pqp, qual é a dificuldade de dar o respeito que tanto pede??";;;;"1104839258295144449";https://twitter.com/kalidelossantos/status/1104839258295144449
