username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
leo_zenitte;2019-05-07 08:58;0;1;"É... porque você (no caso o cara) tenta usar de "culpa"... transporte para o trabalho ou relacionamento conjugal e verá que é assédio... eu aguento o assédio, nem ligo, mas não acho uma ação proativa... minha opinião... eu prefiro fazer refletir pela dúvida...";;;;"1125731735617069056";https://twitter.com/leo_zenitte/status/1125731735617069056
pontofinal2010;2019-05-06 22:02;0;0;"Procuradores debatem assédio, gênero, poder e relações de trabalho - MPT-RS http://www.prt4.mpt.mp.br/procuradorias/prt-porto-alegre/8993-procuradores-debatem-assedio-genero-poder-e-relacoes-de-trabalho …";;;;"1125566448267661313";https://twitter.com/pontofinal2010/status/1125566448267661313
NisianaSalgado;2019-05-06 21:55;0;0;"O assédio moral se configura em situações humilhantes e constrangedoras nas quais os trabalhadores são expostos. Caracteriza-se pela degradação das condições de trabalho, em que "chefes"… https://www.instagram.com/p/BxJFaSjghp_/?utm_source=ig_twitter_share&igshid=l8udeziu5k0i …";;;;"1125564670113349632";https://twitter.com/NisianaSalgado/status/1125564670113349632
drimsm;2019-05-06 21:29;0;5;"Sou professora e por mim tinha câmeras filmando em todas as aulas. Vejo isso como uma segurança. Uma vez um colega de trabalho foi acusado de assédio por uma aluna e ele provou que não fez nada pois na escola as salas tinham câmeras (escola privada).";;;;"1125558300458848258";https://twitter.com/drimsm/status/1125558300458848258
_vrmachado;2019-05-06 19:14;13;47;"Soliedariedade com os trabalhadores da Riot nesse momento boicotando o ambiente de trabalho. Desde 08/18, alegações de assédio foram a público, e a empresa tem tentado silenciar os empregados. Que sirva de exemplo para outros estúdios. # RiotWalkouthttps://www.vice.com/en_us/article/gy4qv7/league-of-legends-studio-faces-employee-walkout-promises-changes#RiotWalkout …";;;# #RiotWalkout;"1125524305381662721";https://twitter.com/_vrmachado/status/1125524305381662721
Danielnunesnt;2019-05-06 18:52;0;0;"Você sabe o que é assédio moral? Constrangimento, ameaças e exposição a situações vexatórias são algumas das ações que configuram este abuso no ambiente de trabalho. http://novotempo.com/ntsul/videos/assedio-moral-no-trabalho-e-suas-consequencias-na-vida-do-individuo/ …";;;;"1125518830791462917";https://twitter.com/Danielnunesnt/status/1125518830791462917
AdvogadoAldier1;2019-05-06 18:43;0;0;"INFORMATIVO HUMILHAÇÕES,ABUSOS,COBRANÇAS EXCESSIVAS,BRINCADEIRAS QUE PASSA DO LIMITE ........ É A DENUNCIA MAIS FEITA NO MINISTÉRIO DO TRABALHO DURANTE 10 ANOS ! Assédio Moral | Jornada CONFIRA LINK vídeo Clique, curta e compartilhe!... https://youtu.be/WMZwlZmCXY0";;;;"1125516366851858432";https://twitter.com/AdvogadoAldier1/status/1125516366851858432
anarosacalves;2019-05-06 18:00;0;1;"O último episódio da temporada do @ mvcopodcast, sobre assédio no trabalho, é imperdível. Eita podcast bom.";;@;;"1125505555265662982";https://twitter.com/anarosacalves/status/1125505555265662982
MPT_RS;2019-05-06 18:00;0;1;"Procuradores debatem assédio, gênero, poder e relações de trabalho: http://bit.ly/2JjI3ux pic.twitter.com/UIxvninwCG";;;;"1125505514912092160";https://twitter.com/MPT_RS/status/1125505514912092160
CapslockAraujo;2019-05-06 17:15;22;83;"A hashtag # riotwalkout mostra funcionários da Riot games que hoje estao abandonando o ambiente de trabalho por um dia em protesto as atitudes da empresa em casos de litígio e assédio sexual . Ótimo!";;;#;"1125494299620270080";https://twitter.com/CapslockAraujo/status/1125494299620270080
IFRSFarroupilha;2019-05-06 14:15;0;0;"Nesta segunda-feira, dia 06 de maio, recebemos o Procurador-geral junto ao IFRS, sr. Albert Caravaca, para a palestra "Assédio Moral e Sexual no Ambiente de Trabalho", dentro do Projeto Acolher para… https://www.instagram.com/p/BxIQ1oTDHHi/?igshid=1wspi25dtotmi …";;;;"1125449062982066182";https://twitter.com/IFRSFarroupilha/status/1125449062982066182
