username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ivaniltonjunio;2019-05-06 14:45;0;12;"Ameaça de greve Preocupação com conseguir emprego Indireta no Facebook Bullying Hoje minha Áurea de felicidade tá fraca";;;;"1125456476468805633";https://twitter.com/ivaniltonjunio/status/1125456476468805633
IronicoNem;2019-05-02 19:53;0;0;"Cazé arrumei um emprego acabou o bullying RS... não leva mal as brincadeiras Mano no.";;;;"1124084532142071808";https://twitter.com/IronicoNem/status/1124084532142071808
ediu_lima;2019-05-02 16:26;0;1;"Falta de emprego, não consegue arranjar um parceiro ou parceira, sofre bullying, demônio no corpo, etc ...";;;;"1124032343616966656";https://twitter.com/ediu_lima/status/1124032343616966656
CleytonAndradee;2019-04-30 12:31;0;0;"Existe várias formas, por ser loira creio que ela n perdeu oportunidades de emprego Mas uma criança gorda que sofre bullying na escola, ele tbm não perde oportunidades de emprego, mas o sofrimento eh menor?";;;;"1123248618134282240";https://twitter.com/CleytonAndradee/status/1123248618134282240
GabPerline;2019-04-30 11:30;0;3;"bullying é diferente de preconceito. Vale estudar as diferenças. Vc certamente nunca perdeu um emprego por ser loira, ou apanhou na rua por ser loira, ou foi expulsa de casa por ser loira, ou perdeu qualquer coisa por ser loira.";;;;"1123233065340420097";https://twitter.com/GabPerline/status/1123233065340420097
adzzamorais;2019-04-08 21:57;0;0;"Ahhh bão. Branco é só glórias! Não morre assassinado, não perde emprego, não sofre bullying e só algodão doce. Vcs vivem em um mundo parelelo, a MINORIA BRANCA que tem $, o resto rala e muito.";;;;"1115418412598140929";https://twitter.com/adzzamorais/status/1115418412598140929
jpoliveiramr;2019-02-13 22:29;0;9;"Criminaliza, STF! É pelo bullying na escola. É pelo medo de se assumir para família e amigos. É pelo medo de ser demitido 'se te descobrirem'. É pelo medo de não conseguir um emprego. É… https://www.instagram.com/p/Bt15UmjA7ql/?utm_source=ig_twitter_share&igshid=1b1mxlyjrx5mf …";;;;"1095842483601358848";https://twitter.com/jpoliveiramr/status/1095842483601358848
th1ts;2015-04-15 08:28;0;0;"Quase 3 semanas no novo emprego e já sofro bullying, uma sina minha né mores";;;;"588302942098305024";https://twitter.com/th1ts/status/588302942098305024
ClaudiaBelloMd;2014-12-01 10:45;1;0;"Quer ganhar dinheiro? Não faça # Bullying ou # traficoDeMulheres Arrume emprego pic.twitter.com/PgZTmfIiOx “@tvisraelita: http://youtu.be/P7GtN8jjDTo?a";;@tvisraelita;# #;"539399984400334848";https://twitter.com/ClaudiaBelloMd/status/539399984400334848
ninewoodstock;2014-07-16 20:53;1;14;"Pai: "eu diria até menos, se pelo menos ela arranjasse um emprego e pagasse as contas" to sofrendo bullying amigos.";;;;"489558519134552064";https://twitter.com/ninewoodstock/status/489558519134552064
pepa633_;2014-07-02 22:16;0;0;"@ TalitaFavalli hoje ele resolveu desabafar comigo.. Que sofreu bullying, ta sem mulher e emprego KKKKKKKK";;@;;"484505980617883648";https://twitter.com/pepa633_/status/484505980617883648
zepedrogcarv;2014-05-19 18:35;0;0;"Minha sugestão a quem faz isso: 1) emprego, 2) namorado(a) 3) cinto de couro no couro 4) bullying coletivo";;;;"468505225351806977";https://twitter.com/zepedrogcarv/status/468505225351806977
_relev4;2014-04-07 21:58;0;0;"O que eu não sofri de bullying na escola me veio em dobro naquela porcaria de emprego pqp";;;;"453335944054468609";https://twitter.com/_relev4/status/453335944054468609
giulianovieceli;2014-03-26 23:54;0;0;"Acho q devemos perdoar a guria! Façamos ela perder o emprego e precisar de um psiquiatra de tanto bullying, mas depois DEIXEMOS ELA EM PAZ!";;;;"449016541032747008";https://twitter.com/giulianovieceli/status/449016541032747008
geovanamattoss;2014-03-17 18:51;0;0;"Estao falando de como se vestir em uma entrevista de emprego e começaram com o bullying so pq to com a camisa da fresno";;;;"445678937268834304";https://twitter.com/geovanamattoss/status/445678937268834304
fe_morel;2014-02-25 18:43;0;0;"@ Fabricia_venter para com o bullying!!!!!! Ahahahah vamos falar do emprego.....";;@;;"438429078748942336";https://twitter.com/fe_morel/status/438429078748942336
crvgjuli;2014-01-15 12:17;0;0;"Sofro bullying nesse emprego </3";;;;"423458910566383617";https://twitter.com/crvgjuli/status/423458910566383617
macairamanu;2013-04-27 22:29;0;0;"E td mundo tem um emprego bom (muito bom) eu preciso ser alguem, caso contrario vou sofrer bullying";;;;"328319919127138304";https://twitter.com/macairamanu/status/328319919127138304
alexgomesbr;2012-03-26 00:54;1;0;"RT @ bqeg: Adultos tambem sofrem bullying. Chama-se emprego.";;@;;"184126232139546624";https://twitter.com/alexgomesbr/status/184126232139546624
murilobusolin;2011-09-30 20:29;0;0;"Bullying no emprego QUEM NUUUNCA";;;;"119916887135100928";https://twitter.com/murilobusolin/status/119916887135100928
sandroataliba;2011-04-15 21:28;0;0;"RT @ tatalmeidalves: Está com medo de perder o emprego? Corra no seu chefe e diga que está sofrendo bullying... ele não vai te demitir";;@;;"59050540943937536";https://twitter.com/sandroataliba/status/59050540943937536
MarcosTesser;2011-04-06 22:11;0;0;"Loco de ingenuo, achei q ia receber umas propostas de emprego aqui mas soh levei mais bullying";;;;"55799770630979584";https://twitter.com/MarcosTesser/status/55799770630979584
aandredias;2011-03-23 15:55;0;0;"Eta vida, banho ir no cursin e mais tarde pesquisar sobre bullying pq ladies and gentlemen, eu comsegui um emprego";;;;"50631816046063616";https://twitter.com/aandredias/status/50631816046063616
