username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Stephany_olivg;2019-05-07 09:53;2;1;""adolescente só estuda não tem mais nada pra se preocupar" Claro po Prova Trabalho Teste Auto estima baixa Aparência Ansiedade Insônia Desilusões Amizades passageiras Insegurança Bullying Não são nada.";;;;"1125745547632095234";https://twitter.com/Stephany_olivg/status/1125745547632095234
LohaineMiguez;2019-05-07 09:50;0;0;"Os amigos de trabalho de vcs também te boicotam por medo de pegar sua gripe? Muito bullying";;;;"1125744718548295680";https://twitter.com/LohaineMiguez/status/1125744718548295680
fervaladares;2019-05-07 00:43;0;2;"Trabalhem melhor mesmo, eles não falam com embasamento nenhum, nem se quer dão o trbaalho de procurar para acrescentar bons argumentos, apenas escracham no método mais tosco pra ganhar atenção, isso não é trabalho e sim bullying.";;;;"1125607036752932866";https://twitter.com/fervaladares/status/1125607036752932866
nathisuicide;2019-05-05 13:02;0;16;"Uma das meninas que fazia bullying na época de escola começou a trabalhar na loja da minha mãe, espero que esse trabalho seja horrível pra ela";;;;"1125068237803261952";https://twitter.com/nathisuicide/status/1125068237803261952
furlanmarcos;2019-05-04 19:16;0;1;"Abril foi o mês da luta pela conscientização, contra o bullying e pela inclusão plena dos autistas. E também de bastante trabalho de rua! Começamos Maio com ainda mais gás! # MarcosFurlan # AtivaMogi em Mogi das Cruzes https://www.instagram.com/p/BxDpsi-pysa/?igshid=1wohrjmwwvy0w …";;;# #;"1124800042005667841";https://twitter.com/furlanmarcos/status/1124800042005667841
h4rulol;2019-05-04 18:53;0;0;"já fez seu trabalho sobre BULLYING???";;;;"1124794223583211522";https://twitter.com/h4rulol/status/1124794223583211522
Guh359;2019-05-04 14:14;0;0;"Que o bullying não tá fazendo o trabalho direito, pode levar esses 2 chorume pic.twitter.com/Y8NIpqvR06";;;;"1124724047869284352";https://twitter.com/Guh359/status/1124724047869284352
hailmarina;2019-05-03 10:43;0;2;"Troca o sexo da Carol e vc tem uma história de heroi médio: um garoto franzino que sofria bullying dos colegas fortinhos, que era maltratado pelo pai e subjugado no trabalho. Quase um Cap América, não?";;;;"1124308515462500354";https://twitter.com/hailmarina/status/1124308515462500354
luluborba;2019-05-02 20:59;0;0;"Trabalho de artes do Léo (meu gatinho de 12 anos) sobre bullying. Além de um baita desenhista demonstrou muita sensibilidade com as palavras nos "balões" (dêem zoom e leiam... é de chorar)… https://www.instagram.com/p/Bw-r4UnF1oP/?utm_source=ig_twitter_share&igshid=pa26nrk38d66 …";;;;"1124101150544945153";https://twitter.com/luluborba/status/1124101150544945153
WaffleMeido;2019-05-02 16:58;0;1;"Essa treta toda do kun0 e bullying na twitch é literalmente o motivo de eu ter tanta ansiedade pra compartilhar meu trabalho online ou principalmente, pra fazer lives na twitch. É bom ver que tem tanta gente legal dando apoio à dreamneko, mas (1/3)";;;;"1124040383317647361";https://twitter.com/WaffleMeido/status/1124040383317647361
annediesel;2019-05-01 19:19;0;0;"E a comida era mais fresca, então era a melhor solução. Sofri bullying no trabalho por muito tempo pq era horário de “almoço de roça”";;;;"1123713593478909953";https://twitter.com/annediesel/status/1123713593478909953
